Date : 2023-08-31 14:32:51
Directory : e:\Users\Ariel\Development\Projects\EDBG
Total : 80 files,  8676 codes, 147 comments, 1074 blanks, all 9897 lines

Languages
+-----------+------------+------------+------------+------------+------------+
| language  | files      | code       | comment    | blank      | total      |
+-----------+------------+------------+------------+------------+------------+
| XML       |         11 |      3,671 |          0 |          0 |      3,671 |
| ShaderLab |         15 |      2,124 |         65 |        583 |      2,772 |
| C#        |         43 |      1,783 |         61 |        395 |      2,239 |
| JSON      |          5 |        764 |          0 |          4 |        768 |
| HLSL      |          4 |        323 |         21 |         87 |        431 |
| Batch     |          1 |          8 |          0 |          3 |         11 |
| Markdown  |          1 |          3 |          0 |          2 |          5 |
+-----------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                             | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                |         80 |      8,676 |        147 |      1,074 |      9,897 |
| . (Files)                                                                                                        |          2 |         11 |          0 |          5 |         16 |
| Assets                                                                                                           |         63 |      4,385 |        147 |      1,067 |      5,599 |
| Assets (Files)                                                                                                   |          1 |         18 |          2 |          8 |         28 |
| Assets\Resources                                                                                                 |          2 |        109 |          4 |         26 |        139 |
| Assets\Resources\Shaders                                                                                         |          2 |        109 |          4 |         26 |        139 |
| Assets\Scripts                                                                                                   |         42 |      1,765 |         59 |        387 |      2,211 |
| Assets\Scripts\Engine                                                                                            |         15 |        841 |         35 |        176 |      1,052 |
| Assets\Scripts\Engine\Auxillary                                                                                  |          4 |         86 |          0 |         20 |        106 |
| Assets\Scripts\Engine\Auxillary\DataTypes                                                                        |          1 |         27 |          0 |          8 |         35 |
| Assets\Scripts\Engine\Auxillary\EventArgs                                                                        |          2 |         29 |          0 |          6 |         35 |
| Assets\Scripts\Engine\Auxillary\FileManagement                                                                   |          1 |         30 |          0 |          6 |         36 |
| Assets\Scripts\Engine\Core                                                                                       |          2 |        248 |         16 |         59 |        323 |
| Assets\Scripts\Engine\Input                                                                                      |          1 |         42 |          2 |         10 |         54 |
| Assets\Scripts\Engine\ResourceManagement                                                                         |          3 |        163 |          4 |         32 |        199 |
| Assets\Scripts\Engine\Screen                                                                                     |          1 |         34 |          2 |          8 |         44 |
| Assets\Scripts\Engine\Visual                                                                                     |          4 |        268 |         11 |         47 |        326 |
| Assets\Scripts\GameLogic                                                                                         |         20 |        744 |          8 |        145 |        897 |
| Assets\Scripts\GameLogic (Files)                                                                                 |          1 |         32 |          0 |          6 |         38 |
| Assets\Scripts\GameLogic\BaseClasses                                                                             |          4 |        112 |          1 |         24 |        137 |
| Assets\Scripts\GameLogic\LogicalEntities                                                                         |          2 |         94 |          5 |         17 |        116 |
| Assets\Scripts\GameLogic\LogicalEntities (Files)                                                                 |          1 |         25 |          0 |          5 |         30 |
| Assets\Scripts\GameLogic\LogicalEntities\Actions                                                                 |          1 |         69 |          5 |         12 |         86 |
| Assets\Scripts\GameLogic\Map                                                                                     |          2 |         79 |          0 |         18 |         97 |
| Assets\Scripts\GameLogic\PhysicalEntities                                                                        |          6 |        181 |          1 |         47 |        229 |
| Assets\Scripts\GameLogic\Rules                                                                                   |          5 |        246 |          1 |         33 |        280 |
| Assets\Scripts\GameObjects                                                                                       |          5 |         94 |         14 |         41 |        149 |
| Assets\Scripts\GameObjects (Files)                                                                               |          1 |         15 |          2 |          5 |         22 |
| Assets\Scripts\GameObjects\Components                                                                            |          4 |         79 |         12 |         36 |        127 |
| Assets\Scripts\UserInterface                                                                                     |          2 |         86 |          2 |         25 |        113 |
| Assets\TextMesh Pro                                                                                              |         18 |      2,493 |         82 |        646 |      3,221 |
| Assets\TextMesh Pro\Shaders                                                                                      |         17 |      2,338 |         82 |        644 |      3,064 |
| Assets\TextMesh Pro\Sprites                                                                                      |          1 |        155 |          0 |          2 |        157 |
| Packages                                                                                                         |          2 |        437 |          0 |          2 |        439 |
| ProjectSettings                                                                                                  |          2 |        172 |          0 |          0 |        172 |
| ProjectSettings (Files)                                                                                          |          1 |        167 |          0 |          0 |        167 |
| ProjectSettings\Packages                                                                                         |          1 |          5 |          0 |          0 |          5 |
| ProjectSettings\Packages\com.unity.testtools.codecoverage                                                        |          1 |          5 |          0 |          0 |          5 |
| UIElementsSchema                                                                                                 |         11 |      3,671 |          0 |          0 |      3,671 |
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------+-----------+------------+------------+------------+------------+
| filename                                                                                                         | language  | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------+-----------+------------+------------+------------+------------+
| e:\Users\Ariel\Development\Projects\EDBG\Assets\CubeObject.cs                                                    | C#        |         18 |          2 |          8 |         28 |
| e:\Users\Ariel\Development\Projects\EDBG\Assets\Resources\Shaders\HighlightShader.shader                         | ShaderLab |         74 |          3 |         19 |         96 |
| e:\Users\Ariel\Development\Projects\EDBG\Assets\Resources\Shaders\TestShader.shader                              | ShaderLab |         35 |          1 |          7 |         43 |
| e:\Users\Ariel\Development\Projects\EDBG\Assets\Scripts\Engine\Auxillary\DataTypes\PositionTypes.cs              | C#        |         27 |          0 |          8 |         35 |
| e:\Users\Ariel\Development\Projects\EDBG\Assets\Scripts\Engine\Auxillary\EventArgs\ActionCompletedEventArgs.cs   | C#        |         13 |          0 |          3 |         16 |
| e:\Users\Ariel\Development\Projects\EDBG\Assets\Scripts\Engine\Auxillary\EventArgs\ScreenChangedEventArgs.cs     | C#        |         16 |          0 |          3 |         19 |
| e:\Users\Ariel\Development\Projects\EDBG\Assets\Scripts\Engine\Auxillary\FileManagement\SQLiteHelper.cs          | C#        |         30 |          0 |          6 |         36 |
| e:\Users\Ariel\Development\Projects\EDBG\Assets\Scripts\Engine\Core\GameEngineManager.cs                         | C#        |        197 |         10 |         49 |        256 |
| e:\Users\Ariel\Development\Projects\EDBG\Assets\Scripts\Engine\Core\PlatformManager.cs                           | C#        |         51 |          6 |         10 |         67 |
| e:\Users\Ariel\Development\Projects\EDBG\Assets\Scripts\Engine\Input\InputHandler.cs                             | C#        |         42 |          2 |         10 |         54 |
| e:\Users\Ariel\Development\Projects\EDBG\Assets\Scripts\Engine\ResourceManagement\MaterialPool.cs                | C#        |         37 |          2 |          7 |         46 |
| e:\Users\Ariel\Development\Projects\EDBG\Assets\Scripts\Engine\ResourceManagement\ObjectPool.cs                  | C#        |         27 |          1 |          7 |         35 |
| e:\Users\Ariel\Development\Projects\EDBG\Assets\Scripts\Engine\ResourceManagement\PoolManager.cs                 | C#        |         99 |          1 |         18 |        118 |
| e:\Users\Ariel\Development\Projects\EDBG\Assets\Scripts\Engine\Screen\ScreenManager.cs                           | C#        |         34 |          2 |          8 |         44 |
| e:\Users\Ariel\Development\Projects\EDBG\Assets\Scripts\Engine\Visual\CameraController.cs                        | C#        |         89 |          3 |         20 |        112 |
| e:\Users\Ariel\Development\Projects\EDBG\Assets\Scripts\Engine\Visual\MapRenderer.cs                             | C#        |         73 |          3 |         11 |         87 |
| e:\Users\Ariel\Development\Projects\EDBG\Assets\Scripts\Engine\Visual\ObjectsRenderer.cs                         | C#        |         93 |          5 |         14 |        112 |
| e:\Users\Ariel\Development\Projects\EDBG\Assets\Scripts\Engine\Visual\RendererBase.cs                            | C#        |         13 |          0 |          2 |         15 |
| e:\Users\Ariel\Development\Projects\EDBG\Assets\Scripts\GameLogic\BaseClasses\GridContainer.cs                   | C#        |         92 |          1 |         19 |        112 |
| e:\Users\Ariel\Development\Projects\EDBG\Assets\Scripts\GameLogic\BaseClasses\IAction.cs                         | C#        |         10 |          0 |          2 |         12 |
| e:\Users\Ariel\Development\Projects\EDBG\Assets\Scripts\GameLogic\BaseClasses\ICell.cs                           | C#        |          5 |          0 |          2 |          7 |
| e:\Users\Ariel\Development\Projects\EDBG\Assets\Scripts\GameLogic\BaseClasses\IGameComponent.cs                  | C#        |          5 |          0 |          1 |          6 |
| e:\Users\Ariel\Development\Projects\EDBG\Assets\Scripts\GameLogic\LogicalEntities\Actions\MoveDiscAction.cs      | C#        |         69 |          5 |         12 |         86 |
| e:\Users\Ariel\Development\Projects\EDBG\Assets\Scripts\GameLogic\LogicalEntities\Player.cs                      | C#        |         25 |          0 |          5 |         30 |
| e:\Users\Ariel\Development\Projects\EDBG\Assets\Scripts\GameLogic\Map\MapGrid.cs                                 | C#        |         33 |          0 |          7 |         40 |
| e:\Users\Ariel\Development\Projects\EDBG\Assets\Scripts\GameLogic\Map\MapTile.cs                                 | C#        |         46 |          0 |         11 |         57 |
| e:\Users\Ariel\Development\Projects\EDBG\Assets\Scripts\GameLogic\PhysicalEntities\ActionCard.cs                 | C#        |         17 |          0 |          9 |         26 |
| e:\Users\Ariel\Development\Projects\EDBG\Assets\Scripts\GameLogic\PhysicalEntities\ActionSpace.cs                | C#        |          3 |          0 |          2 |          5 |
| e:\Users\Ariel\Development\Projects\EDBG\Assets\Scripts\GameLogic\PhysicalEntities\Cube.cs                       | C#        |         16 |          0 |          6 |         22 |
| e:\Users\Ariel\Development\Projects\EDBG\Assets\Scripts\GameLogic\PhysicalEntities\Die.cs                        | C#        |         58 |          1 |         12 |         71 |
| e:\Users\Ariel\Development\Projects\EDBG\Assets\Scripts\GameLogic\PhysicalEntities\Disc.cs                       | C#        |         20 |          0 |          4 |         24 |
| e:\Users\Ariel\Development\Projects\EDBG\Assets\Scripts\GameLogic\PhysicalEntities\GameStack.cs                  | C#        |         67 |          0 |         14 |         81 |
| e:\Users\Ariel\Development\Projects\EDBG\Assets\Scripts\GameLogic\Rules\ActionsManager.cs                        | C#        |         32 |          0 |          7 |         39 |
| e:\Users\Ariel\Development\Projects\EDBG\Assets\Scripts\GameLogic\Rules\LogicGameState.cs                        | C#        |         56 |          0 |         10 |         66 |
| e:\Users\Ariel\Development\Projects\EDBG\Assets\Scripts\GameLogic\Rules\MatchManager.cs                          | C#        |         19 |          0 |          3 |         22 |
| e:\Users\Ariel\Development\Projects\EDBG\Assets\Scripts\GameLogic\Rules\Names.cs                                 | C#        |         49 |          0 |          4 |         53 |
| e:\Users\Ariel\Development\Projects\EDBG\Assets\Scripts\GameLogic\Rules\TileRulesLogic.cs                        | C#        |         90 |          1 |          9 |        100 |
| e:\Users\Ariel\Development\Projects\EDBG\Assets\Scripts\GameLogic\UtilityFunctions.cs                            | C#        |         32 |          0 |          6 |         38 |
| e:\Users\Ariel\Development\Projects\EDBG\Assets\Scripts\GameObjects\Components\DieObject.cs                      | C#        |         12 |          2 |          5 |         19 |
| e:\Users\Ariel\Development\Projects\EDBG\Assets\Scripts\GameObjects\Components\DiscObject.cs                     | C#        |         27 |          5 |         14 |         46 |
| e:\Users\Ariel\Development\Projects\EDBG\Assets\Scripts\GameObjects\Components\GameWorldObject.cs                | C#        |         13 |          2 |          6 |         21 |
| e:\Users\Ariel\Development\Projects\EDBG\Assets\Scripts\GameObjects\Components\SquareTileObject.cs               | C#        |         27 |          3 |         11 |         41 |
| e:\Users\Ariel\Development\Projects\EDBG\Assets\Scripts\GameObjects\SquareMapHolderObject.cs                     | C#        |         15 |          2 |          5 |         22 |
| e:\Users\Ariel\Development\Projects\EDBG\Assets\Scripts\UserInterface\UserInterfaceLock.cs                       | C#        |          6 |          0 |          3 |          9 |
| e:\Users\Ariel\Development\Projects\EDBG\Assets\Scripts\UserInterface\UserInterfaceObject.cs                     | C#        |         80 |          2 |         22 |        104 |
| e:\Users\Ariel\Development\Projects\EDBG\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Custom-Atlas.shader              | ShaderLab |        109 |          2 |         33 |        144 |
| e:\Users\Ariel\Development\Projects\EDBG\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Mobile.shader                    | ShaderLab |        112 |          3 |         31 |        146 |
| e:\Users\Ariel\Development\Projects\EDBG\Assets\TextMesh Pro\Shaders\TMP_Bitmap.shader                           | ShaderLab |        109 |          2 |         33 |        144 |
| e:\Users\Ariel\Development\Projects\EDBG\Assets\TextMesh Pro\Shaders\TMP_SDF Overlay.shader                      | ShaderLab |        243 |          4 |         71 |        318 |
| e:\Users\Ariel\Development\Projects\EDBG\Assets\TextMesh Pro\Shaders\TMP_SDF SSD.shader                          | ShaderLab |        241 |          4 |         66 |        311 |
| e:\Users\Ariel\Development\Projects\EDBG\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Masking.shader               | ShaderLab |        188 |         10 |         50 |        248 |
| e:\Users\Ariel\Development\Projects\EDBG\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Overlay.shader               | ShaderLab |        183 |          8 |         50 |        241 |
| e:\Users\Ariel\Development\Projects\EDBG\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile SSD.shader                   | ShaderLab |         82 |          4 |         21 |        107 |
| e:\Users\Ariel\Development\Projects\EDBG\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile.shader                       | ShaderLab |        183 |          8 |         50 |        241 |
| e:\Users\Ariel\Development\Projects\EDBG\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface-Mobile.shader               | ShaderLab |        103 |          8 |         28 |        139 |
| e:\Users\Ariel\Development\Projects\EDBG\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface.shader                      | ShaderLab |        122 |          4 |         33 |        159 |
| e:\Users\Ariel\Development\Projects\EDBG\Assets\TextMesh Pro\Shaders\TMP_SDF.shader                              | ShaderLab |        243 |          4 |         71 |        318 |
| e:\Users\Ariel\Development\Projects\EDBG\Assets\TextMesh Pro\Shaders\TMP_Sprite.shader                           | ShaderLab |         97 |          0 |         20 |        117 |
| e:\Users\Ariel\Development\Projects\EDBG\Assets\TextMesh Pro\Shaders\TMPro.cginc                                 | HLSL      |         63 |          2 |         20 |         85 |
| e:\Users\Ariel\Development\Projects\EDBG\Assets\TextMesh Pro\Shaders\TMPro_Mobile.cginc                          | HLSL      |        122 |          2 |         34 |        158 |
| e:\Users\Ariel\Development\Projects\EDBG\Assets\TextMesh Pro\Shaders\TMPro_Properties.cginc                      | HLSL      |         62 |         10 |         14 |         86 |
| e:\Users\Ariel\Development\Projects\EDBG\Assets\TextMesh Pro\Shaders\TMPro_Surface.cginc                         | HLSL      |         76 |          7 |         19 |        102 |
| e:\Users\Ariel\Development\Projects\EDBG\Assets\TextMesh Pro\Sprites\EmojiOne.json                               | JSON      |        155 |          0 |          2 |        157 |
| e:\Users\Ariel\Development\Projects\EDBG\ListAssets.bat                                                          | Batch     |          8 |          0 |          3 |         11 |
| e:\Users\Ariel\Development\Projects\EDBG\Packages\manifest.json                                                  | JSON      |         46 |          0 |          1 |         47 |
| e:\Users\Ariel\Development\Projects\EDBG\Packages\packages-lock.json                                             | JSON      |        391 |          0 |          1 |        392 |
| e:\Users\Ariel\Development\Projects\EDBG\ProjectSettings\Packages\com.unity.testtools.codecoverage\Settings.json | JSON      |          5 |          0 |          0 |          5 |
| e:\Users\Ariel\Development\Projects\EDBG\ProjectSettings\SceneTemplateSettings.json                              | JSON      |        167 |          0 |          0 |        167 |
| e:\Users\Ariel\Development\Projects\EDBG\README.md                                                               | Markdown  |          3 |          0 |          2 |          5 |
| e:\Users\Ariel\Development\Projects\EDBG\UIElementsSchema\UIElements.xsd                                         | XML       |         13 |          0 |          0 |         13 |
| e:\Users\Ariel\Development\Projects\EDBG\UIElementsSchema\Unity.Profiling.Editor.xsd                             | XML       |        104 |          0 |          0 |        104 |
| e:\Users\Ariel\Development\Projects\EDBG\UIElementsSchema\Unity.UI.Builder.xsd                                   | XML       |        953 |          0 |          0 |        953 |
| e:\Users\Ariel\Development\Projects\EDBG\UIElementsSchema\UnityEditor.Experimental.GraphView.xsd                 | XML       |         66 |          0 |          0 |         66 |
| e:\Users\Ariel\Development\Projects\EDBG\UIElementsSchema\UnityEditor.Overlays.xsd                               | XML       |         50 |          0 |          0 |         50 |
| e:\Users\Ariel\Development\Projects\EDBG\UIElementsSchema\UnityEditor.PackageManager.UI.Internal.xsd             | XML       |        584 |          0 |          0 |        584 |
| e:\Users\Ariel\Development\Projects\EDBG\UIElementsSchema\UnityEditor.Search.xsd                                 | XML       |         28 |          0 |          0 |         28 |
| e:\Users\Ariel\Development\Projects\EDBG\UIElementsSchema\UnityEditor.ShortcutManagement.xsd                     | XML       |         46 |          0 |          0 |         46 |
| e:\Users\Ariel\Development\Projects\EDBG\UIElementsSchema\UnityEditor.UIElements.Debugger.xsd                    | XML       |         25 |          0 |          0 |         25 |
| e:\Users\Ariel\Development\Projects\EDBG\UIElementsSchema\UnityEditor.UIElements.xsd                             | XML       |        896 |          0 |          0 |        896 |
| e:\Users\Ariel\Development\Projects\EDBG\UIElementsSchema\UnityEngine.UIElements.xsd                             | XML       |        906 |          0 |          0 |        906 |
| Total                                                                                                            |           |      8,676 |        147 |      1,074 |      9,897 |
+------------------------------------------------------------------------------------------------------------------+-----------+------------+------------+------------+------------+
